2020-01-01,333,5.10d,beta,,,,Really fun route. This is a super cool wall,,1
2020-02-01,152,5.9,flash,,,,This was a really cool little crevice that had a couple routes. It was just really fun to hang with Zoe and have fun being outside doing the think I love most with the person I love most,,1
2020-02-01,343,5.7,flash,,,,"Found a really fun, more challenging variation to this route. Really proud of Zoe for flashing this one on lead",,1
2020-02-01,358,5.11a,flash,,,,"This route was so much fun. Long and sustained, but some great rests. There were a few difficult moves with some exposure. I was proud of myself for sending this, especially at a time where I felt like my endurance was still coming back",,1
2020-02-02,205,5.12b,beta,,,,"Wow this was a cool route. I pulled a couple draws to get clips and definitely hung a lot, but I am still proud of some of the moves I linked and for getting to the anchor",,1
2020-03-21,173,5.12a,redpoint,,,,Sent the route on my 4th try of the day! This climb is freaking awesome. Had so much fun on every attempt. Felt awesome to get through the crux,,1
2020-03-22,303,5.10c,beta,,,,"First route back after my broken foot. It felt amazing to be on rock again and I had fun on this route. I didn't finish because of the fall potential with the wet top area, but it was great to be back at it",,1
2020-03-22,276,5.11b,beta,,,,Really fun route. Pretty mellow other than a big lockoff crux in the middle of the route,,1
2020-03-22,276,5.11b,1 fall,,,,"Felt good on the lead, but I didn't get the sequence right. I would like to come back for this one. I bet I can get the send now that I am feeling more comfortable",,1
2020-03-22,288,5.11b,beta,,,,Tried the first lead and I ended up coming down at the top blank arete section. It felt pretty heady especially with me not wanting to take falls,,1
2020-03-22,288,5.11b,beta,,,,"So much fun on TR. The top section would be a difficult lead for me, but I think I can get this one too if I come back",,1
2020-03-22,395,5.10b,beta,,,,"Longest route at North Table. Pretty fun and sustained climbing, especially at the bulges in the top section. I did not have the endurance I needed on this one and struggled to get to the top, but I pushed hard and made it!",,1
2020-03-24,153,5.9,flash,,,,Fun climb with big moves. Some of the holds are quite polished. I like this climb,,1
2020-03-24,268,5.11a,beta,,,,Really great route. Has some technical climbing and some great rests. It is really fun how sequence dependent the middle crux is and then you get a great rest before pulling a super fun roof,,1
2020-03-24,268,5.11a,1 fall,,,,Fell on the roof on my redpoint try. But I came back on 3/29 and sent!,,1
2020-03-24,257,5.11c,beta,,,,"Felt really solid on TR (sent). This route is fucking awesome. Definitely the best at North Table. Technical, slabby section at the bottom onto a ledge for a no hands rest, then you get into some overhung gym climbing on great holds with super fun movement",,1
2020-03-24,189,5.10a/b,flash,,,,Nice cooldown. One tricky section - decent route,,1
2020-03-29,189,5.10a/b,flash,,,,Nice warmup. One tricky section - decent route,,1
2020-03-29,268,5.11a,redpoint,,,,"Sent the route!! I feel good about this. Sending a stout 11- after taking 6 weeks off for a broken foot - not too bad. Once I get my endurance up and continue hangboarding, I am going to sending some really good stuff over the summer",,1
2020-03-29,257,5.11c,1 fall,,,,Will definitely get this next time! I used some energy going right after the slab crux and had to come back down to move left up to the ledge (correct way). I got pumped in the overhung section and didn't have the best foot placement. I know that I can get this next time,,1
2020-03-29,244,5.11d,beta,,,,Very fun route. The corner/roof section is tough for me but really good practice at smearing technique and body positioning. Technical crux at the top that is really good for practicing technique,,1
2020-03-29,244,5.11d,beta,,,,Very fun route. The corner/roof section is tough for me but really good practice at smearing technique and body positioning. Technical crux at the top that is really good for practicing technique,,1
2020-03-31,311,5.10a,flash,,,,"Nice warmup. Cool line. Had some trouble in the beginning, but the first lead is for working out the kinks",,1
2020-03-31,257,5.11c,redpoint,,,,Sent the route!! I climbed well on the technical section and did well on the upper pumpy section. I am really happy that I went back and got this one. Such a fun climb!!!,,1
2020-03-31,179,5.12a,beta,,,,Great route,,1
