2021-01-01,377,5.6,flash,,,,Incredible limestone the whole length of this 115 ft route. So proud of Leah for leading this,,1
2021-01-02,373,5.11a,redpoint,,,,Such an incredible climb. The rock here is truly the best limestone I have been on,,1
2021-01-02,376,5.10a/b,flash,,,,Such a fun route. Incredible holds. Felt much more like 5.9+,,1
2021-01-13,178,5.12a,redpoint,,,,Freaking love this route. Felt really strong,,1
2021-01-20,202,5.12b,1 fall,,,,"Getting really close. The beta is getting dialed, I just need to be fresh and efficient and push through all of it",,1
2021-01-29,371,5.11b,2 falls,,,,"Tried to get the send on the set as a fitness test. I pushed so freaking hard, which was awesome! I was definitely rushing and go out of position a few times. Such an incredible route",,1
2021-01-31,360,5.11a/b,redpoint,,,,Sent on the set! So stoked to have gone back to mark this one off the list!,,1
2021-01-31,200,5.12b,beta,TRUE,,,"Figured out the bottom section through the crux. Need to get the upper part dialed, which is still pretty difficult climbing. Will need to be very efficient on this one, but I think it will go soon for sure!!",,1
2021-02-03,202,5.12b,1 fall,,,,Really close! Such a fun climb to work through.,,1
2021-02-09,202,5.12b,redpoint,,,,FELT AMAZING to send this route! I know it is for sure the hardest climb I've sent. I climbed so well and it came together.,,1
2021-02-10,266,5.11a/b,redpoint,,,,Such a fun route! I enjoyed the beginning easy section just as much as the end,,1
2021-02-19,174,5.12a,beta,,,,"Awesome climbing until the roof - some great slabby moves. Not a huge fan of the hand jam roof, but this is one that I will feel good about when I send it. I know that I need to work on my weaknesses, but this one is really far from fun for me",,1
2021-02-27,227,5.12a,flash,,,,"Short boulder problem with some really awesome moves! Cant say I feel this is a full value 12a, but it was still really cool to get on and cruise through the moves that looked pretty difficult",,1
2021-02-28,217,5.11a,flash,,,,Really fun climb!,,1
2021-02-28,224,5.11d,1 fall,TRUE,,,This climb is so awesome. Pushing my comfort zone and I love it. This is exactly what I need to put into my climbing focus. Cant wait to get back here for this one,,1
2021-03-01,223,5.11c,1 fall,TRUE,,,"Such a spectacular climb. Another one that pushes my comfort zone in exactly the way I need it. It can be tough mentally to get shut down on a lower grade than my limit, but that is the mental training that I need and mental toughness I need to show to keep trying these types of climbs",,1
2021-03-01,219,5.11a,onsight,,,,Freaking awesome climb. I fought pretty hard to send this on the set and damn was it satisfying. I love going a muerte (as they say),,1
2021-03-05,211,5.12b,beta,TRUE,,,My favorite pitch of climbing to date. Absolutely stunning and SO MUCH FUN,,1
2021-03-05,212,5.11c,1 fall,,,,"Another spectacular limestone masterpiece. Really bummed I had a foot slip, otherwise I would have had the onsite. Such a great climb",,1
2021-03-05,383,5.11d,beta,,,,Hardest 11d I've ever done. So tough to figure out. Incredible,,1
2021-03-06,375,5.10c/d,onsight,,,,"Such a unique, fun and beautiful climb. So glad I got to go back and get on this one",,1
2021-03-06,386,5.10a/b,onsight,,,,Great multi-pitch with some awesome climbing,,1
2021-03-27,221,5.11b,onsight,,,,Awesome route. Glad the draws were hung - pretty pumpy,,1
2021-03-27,231,5.12a,beta,TRUE,,,AMAZING. Some of the funnest climbing I've ever done,,1
2021-03-27,225,5.12a,beta,,,,Sick route. Want to come back when I am not totally roasted lol,,1
2021-03-28,362,5.10b,flash,,,,Fun and unique route,,1
2021-03-28,363,5.11b,onsight,,,,Sent on the set. FREAKING FUN. Climbed it again later to finish the day haha. My whole body started cramping. I couldn't stop climbing at this amazing place :),,1
2021-03-28,364,5.12a,beta,TRUE,,,"Truly awesome climb. I got so pumped and worn out working the roof moves, but god damn was this a fun route. I will throw myself at something like this all day any day",,1
2021-03-29,220,5.11b,2 falls,,,,Such a great climb. Will be back on this one!,,1
2021-03-29,226,5.12a,beta,TRUE,,,Fucking amazing. I think doing the dyno in the middle is the funnest single climbing move I have ever done.,,1
2021-04-03,287,5.11b,beta,,,,Just needed to commit to the side pull. Really fun move,,1
2021-04-03,351,5.11a,1 fall,,,,Very delicate slab at the top. Super fun,,1
2021-04-03,357,5.11a,flash,,,,Great climb,,1
2021-04-03,388,5.12c,beta,,,,Very fun climb! Great climbing for the first 75% and then the tough V5/V6 crux. Would definitely get on this some more,,1
2021-04-24,271,5.11a/b,redpoint,,,,This route is just wonderful. I was laughing as I was going up because I was having so much fun. What a special climb,,1
2021-04-30,371,5.11b,redpoint,,,,"Incredible climb. I felt so relaxed, no expectations and I climbed so well. I sent this pretty easily while setting the draws. It felt awesome",,1
2021-05-01,266,5.11a/b,1 fall,,,,Super fun climb. It was fun to take a decent fall and show Michaela what it feels like. She did great at lead belaying,,1
2021-05-08,252,5.11b/c,onsight,,,,"This felt awesome! Such a fun route, and getting the onsite felt really good",,1
2021-05-08,196,5.12a/b,beta,,,,AMAZING route. Some really great individual moves and unique and enjoyable holds. Will be back soon,,1
2021-05-08,265,5.11c,2 falls,,,,Fun fun route. Will need to come back when I am fresh and I think it would go quickly,,1
2021-05-08,379,5.12c,beta,,,,Tough and fun route. Future climb to come back to,,1
2021-05-22,283,5.11b,redpoint,,,,Super fun climb. Great moves down low and then a cool and crimpy traverse sets you up into the powerful section with good holds and less than great feet. Fight the pump and make it through,,1
2021-05-22,259,5.11c,1 fall,TRUE,,,"Really great route. Tough start and lower section. Just need to dial it a bit and push through to the great rest. Then hold on through the sustained, but restable upper section",,1
2021-05-23,196,5.12a/b,redpoint,,,,Felt freaking amazing on this climb. Everything felt dialed and precise. It feels truly awesome when I climb with precision and flow. Didn’t even feel pumped at the top. This is what it is all about. Truly a great feeling when you find that zone,,1
2021-05-23,269,5.11a/b,flash,,,,"Good route, felt great to cruise it. So stoked that Mariah got the send! She is really strong.",,1
2021-05-23,263,5.11c,1 fall,TRUE,,,"So glad I tried this one at the end of the day. What a blast. Almost held on, but couldn't recover or fight the pump through the roof section. Will be back soon!",,1
