2021-07-24,584,5.11b,onsight,,2,Mitch,Decent warmup. Nothing special,,1
2021-07-24,581,5.11b,onsight,FALSE,3,Nick,Fun climb - another good warmup,,1
2021-07-24,594,5.12c,beta,TRUE,,Nick,"Such an awesome climb! The mono was so much fun and the big moves at the start were epic. I think this would be a little out of grasp based on how difficult the top is and how much pump builds on the lower section, but I would love to come back to this one",,1
2021-07-21,96,5.11b,flash,FALSE,3.5,Courtney,"This was such a special day. It was our first date and it start blowing wind and raining while I was on this route. I dialed it in and sent, quickly cleaned, got to the ground in the pouring rain and we stared each other straight in the eyes and had our first kiss. I will never forget this moment and feeling with her",,1
2021-07-25,719,5.11a/b,1 fall,FALSE,,Sofia,Fun climb! Tough warmup haha,,1
2021-07-25,717,5.10d,flash,FALSE,2.5,Sofia,Interesting moves - good warmup,,1
2021-07-25,731,5.12a,beta,TRUE,,Sofia,"One of the HARDEST 12a's I have ever gotten on. I think a big part of that difficulty was from the direct sunlight, but damn did this feel tough. Felt amazing to get through it and I would absolutely come back for this. Incredible route",,1
2021-08-08,317,5.10a,flash,FALSE,3,Tucker,Great warmup for the wall,,1
2021-08-08,275,5.11b,flash,FALSE,3.5,Tucker,Incredible holds and crimping the whole entire way up. Felt really strong on this compared to last time,,1
2021-08-08,203,5.12b,beta,TRUE,,Tucker,SO close. This route is so much fun. Huge improvement from last year!,,1
2021-08-08,203,5.12b,1 fall,TRUE,,Jon,"Broke the undercling and fell! I think I might have had it this go, but I will certainly be back for it",,1
2021-08-08,779,5.12c,beta,TRUE,,Tucker,"Adding this one to the list. I need quite a bit more crimp strength, but I definitely want to keep this one on the radar",,1
2021-08-10,820,5.8,flash,FALSE,3.5,Courtney,We started at 6:30pm and had quite the adventure rapping down in the dark. I am so looking forward to all of the amazing adventures we are going to have together. She did so well and I cannot wait to see her progress as a climber,,1
2021-08-14,1235,5.10b,flash,FALSE,3.5,Aaron,Such an incredible and cool route! It would be so fun to take the whip down the chute,,1
2021-08-14,1252,5.11c/d,redpoint,FALSE,3.5,Aaron,"Massive moves at the bottom, then enjoyable but still thoughtful climbing to the chains",,1
2021-08-14,1247,5.10d,flash,FALSE,3,Tay,"Got a little turned around and it felt hard, but still a good one!",,1
2021-08-14,1256,5.11a,onsight,FALSE,3.5,Tay,Incredible technical and vertical climbing. I loved this one,,1
2021-08-15,939,5.10a,flash,FALSE,3.5,Aaron,One of the coolest 10a's I've ever done! Right next to the refrigerator crack. Damn Ten Sleep is cool,,1
2021-08-15,936,5.12a,flash,FALSE,3.5,Aaron,Difficult V4 off the deck and then an easy V3 as the second crux. Felt awesome to get this one even though it felt a little unfair to be able to reach the best hold at the start,,1
2021-08-15,931,5.11b,flash,FALSE,3.5,Amie,Really awesome climbing. The crimp at the top was SO much fun,,1
2021-08-15,929,5.10d,1 fall,FALSE,,Aaron,"Did not really enjoy this one. It might be a decent route, but I sure got stuck in an annoying position",,1
2021-08-16,1429,5.10b,flash,FALSE,3,Aaron,Great warmup,,1
2021-08-16,1431,5.10d,flash,FALSE,2,Aaron,"Honestly didn't love the manufactured holds. They felt good, but the movement didn't feel natural to me. Had some fun though",,1
2021-08-16,1399,5.12a,onsight,FALSE,4,Aaron,AMAZING. Multiple times on this route I said how freaking fun it was! I can't believe how cool this route is and also to get the onsight while setting draws!!! LIMIT LIMIT LIMIT and I held on with the power screams. Very emotional to get to the anchor on this one,,1
2021-08-16,1394,5.11c,2 falls,TRUE,,Aaron,So fucking fun. What an incredible finish to a very mediocre 10a start. I will absolutely do this one again when I am back in the area. It was fun taking the massive whip at the top!,,1
2021-08-31,384,5.10a/b,flash,,3,Courtney,Awesome weekday out with Court! I love climbing with her. This was a great route!,,1
2021-09-23,167,5.8,flash,FALSE,2.5,Courtney,Warmup,,1
2021-09-23,256,5.11b/c,1 fall,TRUE,,Courtney,Such a fun climb. Got kind of stuck in the crux section. Definitely need to have the feet dialed for this one,,1
2021-09-23,313,5.10a,flash,FALSE,2.5,Courtney,Fun route!,,1
