Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"For Love of Mothernot","Second Buttress > Mt. Thorodin > Golden Gate Canyon SP > Golden > Colorado",https://www.mountainproject.com/route/105764604/for-love-of-mothernot,2.0,-1,Trad,5.9,3,280,39.83694,-105.42453
"Papal Bull","Second Buttress > Mt. Thorodin > Golden Gate Canyon SP > Golden > Colorado",https://www.mountainproject.com/route/105755773/papal-bull,1.5,-1,Trad,5.9+,3,400,39.83694,-105.42453
Outland,"Second Buttress > Mt. Thorodin > Golden Gate Canyon SP > Golden > Colorado",https://www.mountainproject.com/route/105764601/outland,1.0,-1,Trad,5.9+,3,280,39.83694,-105.42453
"Mr. Misty","Second Buttress > Mt. Thorodin > Golden Gate Canyon SP > Golden > Colorado",https://www.mountainproject.com/route/105755770/mr-misty,2.4,-1,Trad,5.10a,3,400,39.83694,-105.42453
Unknown,"Second Buttress > Mt. Thorodin > Golden Gate Canyon SP > Golden > Colorado",https://www.mountainproject.com/route/108239253/unknown,3.0,-1,Trad,5.10b,2,250,39.83694,-105.42453
"Pope on Dope","Second Buttress > Mt. Thorodin > Golden Gate Canyon SP > Golden > Colorado",https://www.mountainproject.com/route/105760926/pope-on-dope,2.4,-1,"Trad, Sport",5.10c,2,240,39.83694,-105.42453
"The Zephyr","North Buttress > Mt. Thorodin > Golden Gate Canyon SP > Golden > Colorado",https://www.mountainproject.com/route/113752155/the-zephyr,2.0,-1,Sport,5.9,1,80,39.83694,-105.42453
Chinook,"North Buttress > Mt. Thorodin > Golden Gate Canyon SP > Golden > Colorado",https://www.mountainproject.com/route/113752212/chinook,2.3,-1,Trad,5.9,1,60,39.83694,-105.42453
"Thorodin's Hammer","North Buttress > Mt. Thorodin > Golden Gate Canyon SP > Golden > Colorado",https://www.mountainproject.com/route/113752272/thorodins-hammer,2.0,-1,Sport,5.11b,1,60,39.83694,-105.42453
Squawk,"[Redacted] > Golden Gate Canyon SP > Golden > Colorado",https://www.mountainproject.com/route/108160934/squawk,2.0,-1,Trad,"5.9+ PG13",1,50,39.87548,-105.42313
[Redacted],"[Redacted] > Golden Gate Canyon SP > Golden > Colorado",https://www.mountainproject.com/route/105755815/redacted,1.9,-1,Trad,5.9+,1,,39.87548,-105.42313
"Rain Screw","Ralston Roost > Golden Gate Canyon SP > Golden > Colorado",https://www.mountainproject.com/route/111206575/rain-screw,2.0,-1,Sport,5.10,2,150,39.83641,-105.42442
"Jugs Out For The Lads","Dude's Throne > Golden Gate Canyon SP > Golden > Colorado",https://www.mountainproject.com/route/106940363/jugs-out-for-the-lads,2.0,-1,Sport,5.9,1,40,39.86231,-105.41224
"Dude's Five Nine","Dude's Throne > Golden Gate Canyon SP > Golden > Colorado",https://www.mountainproject.com/route/106940394/dudes-five-nine,1.8,-1,Sport,5.9,1,45,39.86231,-105.41224
"White Russian","Dude's Throne > Golden Gate Canyon SP > Golden > Colorado",https://www.mountainproject.com/route/119179519/white-russian,3.0,-1,Trad,5.9,1,100,39.86231,-105.41224
"In Harmsen's Way","Dude's Throne > Golden Gate Canyon SP > Golden > Colorado",https://www.mountainproject.com/route/106940412/in-harmsens-way,2.1,-1,Sport,5.10a,1,50,39.86231,-105.41224
"Slightly Aphrodite","Dude's Throne > Golden Gate Canyon SP > Golden > Colorado",https://www.mountainproject.com/route/119179593/slightly-aphrodite,2.3,-1,Trad,5.10-,1,100,39.86231,-105.41224
"Any Doodle Do","Dude's Throne > Golden Gate Canyon SP > Golden > Colorado",https://www.mountainproject.com/route/106940388/any-doodle-do,2.0,-1,Sport,5.10b,1,40,39.86231,-105.41224
"Jolly Squeeze Party","Dude's Throne > Golden Gate Canyon SP > Golden > Colorado",https://www.mountainproject.com/route/107613698/jolly-squeeze-party,2.0,-1,TR,5.10,1,45,39.86231,-105.41224
"Jolly Rancher","Dude's Throne > Golden Gate Canyon SP > Golden > Colorado",https://www.mountainproject.com/route/107293957/jolly-rancher,1.7,-1,Sport,5.10,1,60,39.86231,-105.41224
"Mighty Aphrodite","Dude's Throne > Golden Gate Canyon SP > Golden > Colorado",https://www.mountainproject.com/route/106940483/mighty-aphrodite,2.5,-1,Sport,5.10,1,60,39.86231,-105.41224
"Short Dude","Dude's Throne > Golden Gate Canyon SP > Golden > Colorado",https://www.mountainproject.com/route/106940424/short-dude,2.3,-1,Sport,5.11a,1,35,39.86231,-105.41224
"Dude's Jam Crack","Dude's Throne > Golden Gate Canyon SP > Golden > Colorado",https://www.mountainproject.com/route/106937809/dudes-jam-crack,3.1,-1,Trad,5.11a,1,85,39.86231,-105.41224
"Dude's Way","Dude's Throne > Golden Gate Canyon SP > Golden > Colorado",https://www.mountainproject.com/route/106940401/dudes-way,2.1,-1,Sport,5.11a,1,45,39.86231,-105.41224
"Uplift Mofo Party Plan","Dude's Throne > Golden Gate Canyon SP > Golden > Colorado",https://www.mountainproject.com/route/107293986/uplift-mofo-party-plan,3.0,-1,Sport,5.11b,1,60,39.86231,-105.41224
"Dude's Dihedral","Dude's Throne > Golden Gate Canyon SP > Golden > Colorado",https://www.mountainproject.com/route/107660432/dudes-dihedral,2.7,-1,Sport,5.11b,1,60,39.86231,-105.41224
"Howdy Doody Time","Dude's Throne > Golden Gate Canyon SP > Golden > Colorado",https://www.mountainproject.com/route/106958759/howdy-doody-time,3.4,-1,Sport,5.11b,1,80,39.86231,-105.41224
"Dude's Jam Parade AKA The Wiessner Connect","Dude's Throne > Golden Gate Canyon SP > Golden > Colorado",https://www.mountainproject.com/route/107850439/dudes-jam-parade-aka-the-wiessner-connect,2.8,-1,"Trad, Sport",5.11b/c,1,,39.86231,-105.41224
"Green Chile","Dude's Throne > Golden Gate Canyon SP > Golden > Colorado",https://www.mountainproject.com/route/108176598/green-chile,2.5,-1,Sport,5.11b/c,1,45,39.86231,-105.41224
"Missing Link","Dude's Throne > Golden Gate Canyon SP > Golden > Colorado",https://www.mountainproject.com/route/107275166/missing-link,2.5,-1,"Trad, Sport",5.11c,1,80,39.86231,-105.41224
"Major Party Plan","Dude's Throne > Golden Gate Canyon SP > Golden > Colorado",https://www.mountainproject.com/route/112861187/major-party-plan,3.2,-1,Sport,5.11d,1,70,39.86231,-105.41224
"Golden Gate","Dude's Throne > Golden Gate Canyon SP > Golden > Colorado",https://www.mountainproject.com/route/106940966/golden-gate,3.0,-1,Sport,5.11d,1,60,39.86231,-105.41224
"Raven's Brew","Dude's Throne > Golden Gate Canyon SP > Golden > Colorado",https://www.mountainproject.com/route/107148620/ravens-brew,2.3,-1,Sport,5.11d,1,80,39.86231,-105.41224
"Chili Power","Dude's Throne > Golden Gate Canyon SP > Golden > Colorado",https://www.mountainproject.com/route/110962294/chili-power,1.8,-1,Sport,5.11d,1,25,39.86231,-105.41224
