The Live Edge,Sawmill  Wall > Sawmill Crag > Old Mill Area > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/121302278/the-live-edge,5.9,39.52299,-105.38838,Sawmill  Wall,Sawmill Crag
11 Gallon Hat,2. Blazing Saddles > Dines Cliff > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/113266231/11-gallon-hat,5.11b,39.50346,-105.37002,2. Blazing Saddles,Dines Cliff
4 Finger Discount,Upper Tan Corridor > Tan Corridor > Meadow Dome > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/108317072/4-finger-discount,5.12,39.51669,-105.39578,Upper Tan Corridor,Tan Corridor
4-Way Gaston,Never Winter Wall > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/120643533/4-way-gaston,5.10b,39.51474,-105.38692,Never Winter Wall,Staunton State Park
5000 Candles in the Wind,The Dungeon > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/111080657/5000-candles-in-the-wind,5.10a,39.5168,-105.3962,The Dungeon,Staunton Rocks
80 Grit,Upper Tan Corridor > Tan Corridor > Meadow Dome > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/108161029/80-grit,5.10,39.51669,-105.39578,Upper Tan Corridor,Tan Corridor
A Face in the Crowd,The Ranch Hand > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/114233851/a-face-in-the-crowd,5.10b,39.51716,-105.39888,The Ranch Hand,Staunton Rocks
Aerial Acrobatics,The Raven > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/114209436/aerial-acrobatics,5.10a,39.50262,-105.36836,The Raven,Staunton State Park
Ain’t no Wade,6. The Lower East Side > Dines Cliff > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/120086186/aint-no-wade,5.10,39.50337,-105.36885,6. The Lower East Side,Dines Cliff
Amimaniacs,5. Cartoon Wall > Dines Cliff > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/119490631/amimaniacs,5.10b/c,39.50327,-105.36968,5. Cartoon Wall,Dines Cliff
Ancient Relics,The Cascades Wall > Meadow Dome > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/108182622/ancient-relics,5.10,39.51607,-105.39462,The Cascades Wall,Meadow Dome
Angle of Attack,The Aerie > Meadow Dome > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/120528019/angle-of-attack,5.12d,39.5161,-105.3955,The Aerie,Meadow Dome
